episode,phase,total_reward,steps,success,collision,timeout,epsilon,avg_loss,avg_q,global_train_steps
149,0,-1.2,400,0,0,1,0.637197,0.017428,6.43732,58996
150,0,-1.2,400,0,0,1,0.635285,0.015396,6.42794,59396
151,0,-1.2,400,0,0,1,0.63338,0.014977,6.42282,59796
152,0,8.94087,355,1,0,0,0.631479,0.015336,6.40099,60152
153,0,-1.19945,400,0,0,1,0.629585,0.015806,6.39271,60552
154,0,-1.2,400,0,0,1,0.627696,0.016699,6.37387,60952
155,0,8.80915,399,1,0,0,0.625813,0.014563,6.35436,61352
156,0,-1.2,400,0,0,1,0.623936,0.015565,6.33681,61752
157,0,9.07036,312,1,0,0,0.622064,0.017072,6.3233,62065
158,0,8.95175,352,1,0,0,0.620198,0.016349,6.30932,62418
159,0,8.90523,367,1,0,0,0.618337,0.01477,6.29368,62786
160,0,-1.2,400,0,0,1,0.616482,0.015286,6.28765,63186
161,0,8.97021,346,1,0,0,0.614633,0.017773,6.26721,63533
162,0,9.00088,335,1,0,0,0.612789,0.017278,6.24844,63869
163,0,9.00112,335,1,0,0,0.61095,0.016722,6.23328,64205
164,0,8.86922,379,1,0,0,0.609118,0.016393,6.21901,64585
165,0,9.03385,324,1,0,0,0.60729,0.015955,6.20741,64910
166,0,9.02894,326,1,0,0,0.605468,0.014764,6.17138,65237
167,0,9.29153,238,1,0,0,0.603652,0.013774,6.17194,65476
168,0,9.62579,127,1,0,0,0.601841,0.014716,6.15821,65604
169,0,9.25332,251,1,0,0,0.600035,0.017758,6.13958,65856
170,0,9.20217,268,1,0,0,0.598235,0.014702,6.13314,66125
171,0,9.26773,246,1,0,0,0.596441,0.012468,6.11544,66372
172,0,9.08215,308,1,0,0,0.594651,0.016587,6.10734,66681
173,0,9.35451,217,1,0,0,0.592867,0.014199,6.09424,66899
174,0,9.36686,213,1,0,0,0.591089,0.015266,6.07702,67113
175,0,9.30706,233,1,0,0,0.589315,0.014557,6.06992,67347
176,0,9.29648,237,1,0,0,0.587548,0.014772,6.0628,67585
177,0,9.40451,201,1,0,0,0.585785,0.015516,6.05767,67787
178,0,9.44442,187,1,0,0,0.584028,0.012977,6.0513,67975
179,0,9.39108,205,1,0,0,0.582275,0.014453,6.03803,68181
180,0,9.41892,196,1,0,0,0.580529,0.013128,6.03309,68378
181,0,9.33071,225,1,0,0,0.578787,0.014059,6.02138,68604
182,0,9.43862,189,1,0,0,0.577051,0.014636,6.01495,68794
183,0,9.25874,249,1,0,0,0.57532,0.012128,5.99566,69044
184,0,9.50463,167,1,0,0,0.573594,0.015057,5.98713,69212
185,0,9.47839,176,1,0,0,0.571873,0.012502,5.97396,69389
186,0,9.40154,202,1,0,0,0.570157,0.012889,5.96753,69592
187,0,9.46028,182,1,0,0,0.568447,0.013418,5.97911,69775
188,0,9.39772,203,1,0,0,0.566741,0.011928,5.9624,69979
189,0,9.4476,186,1,0,0,0.565041,0.016244,5.94434,70166
190,0,9.45784,183,1,0,0,0.563346,0.01691,5.93319,70350
191,0,9.4786,176,1,0,0,0.561656,0.013178,5.94291,70527
192,0,9.35521,217,1,0,0,0.559971,0.012671,5.93147,70745
193,0,9.37862,209,1,0,0,0.558291,0.010215,5.93001,70955
194,0,9.69945,102,1,0,0,0.556616,0.017854,5.92122,71058
195,0,9.52096,162,1,0,0,0.554946,0.013505,5.92098,71221
196,0,9.43938,189,1,0,0,0.553282,0.016849,5.90538,71411
197,0,9.46268,181,1,0,0,0.551622,0.013256,5.89619,71593
198,0,9.51066,165,1,0,0,0.549967,0.015778,5.91068,71759
199,0,9.58268,141,1,0,0,0.548317,0.014189,5.88756,71901
200,0,9.54077,155,1,0,0,0.546672,0.009693,5.90359,72057
201,0,9.42083,195,1,0,0,0.545032,0.014719,5.89322,72253
202,0,9.46299,181,1,0,0,0.543397,0.010825,5.89536,72435
203,0,9.63717,123,1,0,0,0.541767,0.008268,5.88916,72559
204,0,9.53803,156,1,0,0,0.540141,0.01273,5.89344,72716
205,0,9.37589,210,1,0,0,0.538521,0.010964,5.89105,72927
206,0,9.5916,138,1,0,0,0.536905,0.013065,5.90533,73066
207,0,9.48699,173,1,0,0,0.535295,0.013344,5.91224,73240
208,0,9.42441,194,1,0,0,0.533689,0.011918,5.88949,73435
209,0,9.62197,128,1,0,0,0.532088,0.014466,5.90052,73564
210,0,9.51174,165,1,0,0,0.530491,0.01256,5.88469,73730
211,0,9.50849,166,1,0,0,0.5289,0.013332,5.89636,73897
212,0,9.46584,180,1,0,0,0.527313,0.014205,5.91412,74078
213,0,9.48172,175,1,0,0,0.525731,0.01796,5.90101,74254
214,0,9.49042,172,1,0,0,0.524154,0.010731,5.90333,74427
215,0,9.63737,123,1,0,0,0.522582,0.012703,5.9309,74551
216,0,9.49146,172,1,0,0,0.521014,0.011734,5.92477,74724
217,0,9.47765,176,1,0,0,0.519451,0.013377,5.93911,74901
218,0,9.54457,154,1,0,0,0.517893,0.011461,5.94149,75056
219,0,9.49877,169,1,0,0,0.516339,0.0142,5.95064,75226
220,0,9.44409,188,1,0,0,0.51479,0.013727,5.96998,75415
221,0,9.64037,122,1,0,0,0.513245,0.012289,5.96237,75538
222,0,9.5319,158,1,0,0,0.511706,0.012974,5.9802,75697
223,0,9.53781,156,1,0,0,0.510171,0.013129,5.96897,75854
224,0,9.59715,136,1,0,0,0.50864,0.011503,5.98827,75991
225,0,9.57104,145,1,0,0,0.507114,0.013295,6.01407,76137
226,0,9.55015,152,1,0,0,0.505593,0.013433,6.01175,76290
227,0,9.64269,121,1,0,0,0.504076,0.018576,6.0395,76412
228,0,9.55615,150,1,0,0,0.502564,0.0134,6.02706,76563
229,0,9.55836,149,1,0,0,0.501056,0.015317,6.05075,76713
230,0,9.55229,152,1,0,0,0.499553,0.010585,6.08096,76866
231,0,9.65241,118,1,0,0,0.498054,0.012024,6.08822,76985
232,0,9.59458,137,1,0,0,0.49656,0.015775,6.09115,77123
233,0,9.64822,119,1,0,0,0.49507,0.012866,6.11523,77243
234,0,9.59453,137,1,0,0,0.493585,0.012507,6.11294,77381
235,0,9.53228,158,1,0,0,0.492105,0.010508,6.11885,77540
236,0,9.60637,133,1,0,0,0.490628,0.013063,6.14117,77674
237,0,9.56551,147,1,0,0,0.489156,0.014226,6.17655,77822
238,0,9.60427,134,1,0,0,0.487689,0.012259,6.18805,77957
239,0,9.54123,155,1,0,0,0.486226,0.014433,6.21839,78113
240,0,9.66929,112,1,0,0,0.484767,0.012048,6.23091,78226
241,0,9.53745,156,1,0,0,0.483313,0.009512,6.23571,78383
