episode,phase,total_reward,steps,success,collision,timeout,epsilon,avg_loss,avg_q,global_train_steps
229,0,9.43306,191,1,0,0,0.501056,0.011803,4.98828,89212
230,0,9.39373,204,1,0,0,0.499553,0.013009,4.9817,89417
231,0,-1.2,400,0,0,1,0.498054,0.012074,4.98441,89817
232,0,-1.2,400,0,0,1,0.49656,0.011383,4.95723,90217
233,0,-1.2,400,0,0,1,0.49507,0.012157,4.92033,90617
234,0,-1.2,400,0,0,1,0.493585,0.014546,4.88929,91017
235,0,-1.2,400,0,0,1,0.492105,0.01195,4.86352,91417
236,0,-1.2,400,0,0,1,0.490628,0.011208,4.83947,91817
237,0,-1.2,400,0,0,1,0.489156,0.013402,4.8158,92217
238,0,9.6605,115,1,0,0,0.487689,0.00906,4.81089,92333
239,0,9.40686,200,1,0,0,0.486226,0.009251,4.78181,92534
240,0,9.66107,115,1,0,0,0.484767,0.012694,4.76784,92650
241,0,9.45497,184,1,0,0,0.483313,0.013465,4.77885,92835
242,0,9.68524,107,1,0,0,0.481863,0.011505,4.77289,92943
243,0,9.68164,108,1,0,0,0.480417,0.014558,4.77398,93052
244,0,9.64766,120,1,0,0,0.478976,0.012077,4.76724,93173
245,0,9.57957,143,1,0,0,0.477539,0.011559,4.77089,93317
246,0,9.68778,106,1,0,0,0.476106,0.011757,4.76358,93424
247,0,9.6698,112,1,0,0,0.474678,0.009625,4.7503,93537
248,0,9.65778,116,1,0,0,0.473254,0.012167,4.77193,93654
249,0,9.55938,149,1,0,0,0.471834,0.010868,4.74436,93804
250,0,9.70292,101,1,0,0,0.470419,0.014439,4.76273,93906
251,0,9.58049,142,1,0,0,0.469008,0.011659,4.76317,94049
252,0,9.63045,125,1,0,0,0.467601,0.014235,4.76522,94175
253,0,9.70843,99,1,0,0,0.466198,0.016914,4.74217,94275
254,0,9.66138,115,1,0,0,0.464799,0.008356,4.75703,94391
255,0,9.73346,91,1,0,0,0.463405,0.011731,4.75444,94483
256,0,9.76235,81,1,0,0,0.462015,0.0142,4.77004,94565
257,0,9.66396,114,1,0,0,0.460629,0.007054,4.78021,94680
258,0,9.67908,109,1,0,0,0.459247,0.011309,4.74072,94790
259,0,9.66051,115,1,0,0,0.457869,0.009667,4.78799,94906
260,0,9.67537,110,1,0,0,0.456495,0.009863,4.80656,95017
261,0,9.69737,103,1,0,0,0.455126,0.009519,4.81855,95121
262,0,9.65447,117,1,0,0,0.45376,0.008899,4.7977,95239
263,0,9.69199,105,1,0,0,0.452399,0.009791,4.83836,95345
264,0,9.67559,110,1,0,0,0.451042,0.011709,4.84416,95456
265,0,9.74162,88,1,0,0,0.449689,0.011174,4.83741,95545
266,0,9.72713,93,1,0,0,0.44834,0.012193,4.85985,95639
267,0,9.68798,106,1,0,0,0.446995,0.010587,4.85742,95746
268,0,9.60175,135,1,0,0,0.445654,0.010499,4.8383,95882
269,0,9.75388,84,1,0,0,0.444317,0.007919,4.88512,95967
270,0,9.66373,114,1,0,0,0.442984,0.009357,4.86464,96082
271,0,9.66402,114,1,0,0,0.441655,0.013121,4.88758,96197
272,0,9.66987,112,1,0,0,0.44033,0.013082,4.90189,96310
273,0,9.62802,126,1,0,0,0.439009,0.008731,4.92599,96437
274,0,9.66961,112,1,0,0,0.437692,0.008416,4.93677,96550
275,0,9.67859,109,1,0,0,0.436379,0.009458,4.96001,96660
276,0,9.63643,123,1,0,0,0.43507,0.010013,4.94059,96784
277,0,9.69132,105,1,0,0,0.433765,0.010881,4.95767,96890
278,0,9.76914,79,1,0,0,0.432463,0.010629,5.00234,96970
279,0,9.70277,101,1,0,0,0.431166,0.00701,5.00349,97072
280,0,9.73333,91,1,0,0,0.429872,0.011352,5.00888,97164
281,0,9.65759,116,1,0,0,0.428583,0.009549,4.99944,97281
282,0,9.61042,132,1,0,0,0.427297,0.011456,5.04044,97414
283,0,9.67903,109,1,0,0,0.426015,0.011062,5.01732,97524
284,0,9.64605,120,1,0,0,0.424737,0.008493,5.07253,97645
285,0,9.7236,94,1,0,0,0.423463,0.013589,5.07724,97740
286,0,9.69064,105,1,0,0,0.422192,0.009295,5.1062,97846
287,0,9.69094,105,1,0,0,0.420926,0.009212,5.08969,97952
288,0,9.68513,107,1,0,0,0.419663,0.010709,5.12184,98060
289,0,9.71735,96,1,0,0,0.418404,0.008836,5.12609,98157
290,0,9.73569,90,1,0,0,0.417149,0.010633,5.15751,98248
291,0,9.7183,96,1,0,0,0.415897,0.011305,5.15785,98345
292,0,9.70574,100,1,0,0,0.41465,0.00796,5.16987,98446
293,0,9.62766,126,1,0,0,0.413406,0.009751,5.19126,98573
294,0,9.69388,104,1,0,0,0.412166,0.010233,5.20024,98678
295,0,9.59933,136,1,0,0,0.410929,0.012653,5.22587,98815
296,0,9.71495,97,1,0,0,0.409696,0.01125,5.23893,98913
297,0,9.65552,117,1,0,0,0.408467,0.011909,5.27177,99031
298,0,9.66165,115,1,0,0,0.407242,0.008745,5.28475,99147
299,0,9.65199,118,1,0,0,0.40602,0.008768,5.31622,99266
300,0,9.75067,85,1,0,0,0.404802,0.007571,5.31282,99352
301,0,9.72486,94,1,0,0,0.403588,0.009531,5.35987,99447
302,0,9.6667,113,1,0,0,0.402377,0.009618,5.35296,99561
303,0,9.69986,102,1,0,0,0.40117,0.009927,5.39268,99664
304,0,9.58778,140,1,0,0,0.399966,0.00688,5.36698,99805
305,0,9.70611,100,1,0,0,0.398766,0.011909,5.41078,99906
306,0,9.6941,104,1,0,0,0.39757,0.010422,5.45506,100011
307,0,9.67932,109,1,0,0,0.396377,0.010432,5.4399,100121
308,0,9.72384,94,1,0,0,0.395188,0.008956,5.46492,100216
309,0,9.64312,121,1,0,0,0.394003,0.009868,5.49147,100338
310,0,9.6735,111,1,0,0,0.392821,0.010406,5.50842,100450
311,0,9.7355,90,1,0,0,0.391642,0.007966,5.53568,100541
312,0,9.667,113,1,0,0,0.390467,0.008862,5.54197,100655
313,0,9.7214,95,1,0,0,0.389296,0.010545,5.55878,100751
314,0,9.72071,95,1,0,0,0.388128,0.013091,5.55795,100847
315,0,9.68805,106,1,0,0,0.386964,0.013823,5.58199,100954
316,0,9.7007,102,1,0,0,0.385803,0.006136,5.60445,101057
317,0,9.72432,94,1,0,0,0.384645,0.007729,5.59739,101152
318,0,9.7353,90,1,0,0,0.383491,0.007292,5.63517,101243
319,0,9.69033,105,1,0,0,0.382341,0.008665,5.62267,101349
320,0,9.76328,81,1,0,0,0.381194,0.011064,5.68243,101431
321,0,9.69083,105,1,0,0,0.38005,0.008553,5.66619,101537
322,0,9.71734,96,1,0,0,0.37891,0.007666,5.70774,101634
323,0,9.71781,96,1,0,0,0.377773,0.009839,5.71527,101731
324,0,9.71499,97,1,0,0,0.37664,0.009475,5.72896,101829
325,0,9.74514,87,1,0,0,0.37551,0.013427,5.74606,101917
326,0,9.76285,81,1,0,0,0.374384,0.00959,5.76092,101999
327,0,9.72672,93,1,0,0,0.37326,0.008904,5.77206,102093
328,0,9.71144,98,1,0,0,0.372141,0.012429,5.802,102192
329,0,9.77469,77,1,0,0,0.371024,0.007367,5.80658,102270
330,0,9.76901,79,1,0,0,0.369911,0.014464,5.8465,102350
331,0,9.77248,78,1,0,0,0.368801,0.009667,5.82778,102429
332,0,9.75086,85,1,0,0,0.367695,0.011964,5.86011,102515
333,0,9.76923,79,1,0,0,0.366592,0.011187,5.886,102595
334,0,9.75035,85,1,0,0,0.365492,0.006784,5.88368,102681
335,0,9.75733,83,1,0,0,0.364396,0.009399,5.8971,102765
336,0,9.73596,90,1,0,0,0.363302,0.013025,5.91458,102856
337,0,9.67948,109,1,0,0,0.362213,0.011234,5.94632,102966
338,0,9.72399,94,1,0,0,0.361126,0.013109,5.98161,103061
339,0,9.77569,77,1,0,0,0.360043,0.008778,5.98077,103139
340,0,9.75389,84,1,0,0,0.358962,0.009154,5.99639,103224
341,0,9.75952,82,1,0,0,0.357886,0.010573,6.00123,103307
342,0,9.7338,91,1,0,0,0.356812,0.010566,6.00536,103399
343,0,9.68763,106,1,0,0,0.355741,0.010795,6.00226,103506
344,0,9.78392,74,1,0,0,0.354674,0.009307,6.01275,103581
345,0,9.73567,90,1,0,0,0.35361,0.01058,6.01434,103672
346,0,9.7263,93,1,0,0,0.352549,0.013125,6.02081,103766
347,0,9.77822,76,1,0,0,0.351492,0.010781,6.03456,103843
348,0,9.70274,101,1,0,0,0.350437,0.009063,6.0583,103945
