episode,phase,total_reward,steps,success,collision,timeout,epsilon,avg_loss,avg_q,global_train_steps
181,0,-1.19738,400,0,0,1,0.578787,0.022788,9.72716,68098
182,0,9.48702,173,1,0,0,0.577051,0.024692,9.73287,68272
183,0,9.4412,188,1,0,0,0.57532,0.021164,9.69993,68461
184,0,9.54399,154,1,0,0,0.573594,0.019956,9.69724,68616
185,0,-1.1931,400,0,0,1,0.571873,0.022887,9.68661,69016
186,0,-1.19035,400,0,0,1,0.570157,0.024525,9.65597,69416
187,0,8.91627,364,1,0,0,0.568447,0.025552,9.62176,69781
188,0,8.97991,342,1,0,0,0.566741,0.027278,9.5615,70124
189,0,8.97123,345,1,0,0,0.565041,0.019935,9.51393,70470
190,0,9.01217,332,1,0,0,0.563346,0.022043,9.45939,70803
191,0,-1.19504,400,0,0,1,0.561656,0.023224,9.40466,71203
192,0,-1.2,400,0,0,1,0.559971,0.02237,9.31995,71603
193,0,9.54132,155,1,0,0,0.558291,0.022588,9.26563,71759
194,0,-1.2,400,0,0,1,0.556616,0.018025,9.2135,72159
195,0,-1.19946,400,0,0,1,0.554946,0.020302,9.12491,72559
196,0,-1.2,400,0,0,1,0.553282,0.014773,9.04253,72959
197,0,-1.19474,400,0,0,1,0.551622,0.015471,8.95426,73359
198,0,-1.19891,400,0,0,1,0.549967,0.018966,8.87977,73759
199,0,-1.2,400,0,0,1,0.548317,0.019073,8.79184,74159
200,0,-1.19623,400,0,0,1,0.546672,0.017405,8.711,74559
201,0,-1.1961,400,0,0,1,0.545032,0.022236,8.64335,74959
202,0,-1.19806,400,0,0,1,0.543397,0.017035,8.57045,75359
203,0,-1.18929,400,0,0,1,0.541767,0.016995,8.50088,75759
204,0,9.43398,191,1,0,0,0.540141,0.019168,8.45072,75951
205,0,9.32061,229,1,0,0,0.538521,0.018421,8.41181,76181
206,0,9.3947,204,1,0,0,0.536905,0.016833,8.36626,76386
207,0,8.9338,358,1,0,0,0.535295,0.018081,8.32,76745
208,0,9.43005,192,1,0,0,0.533689,0.015735,8.26377,76938
209,0,9.24579,254,1,0,0,0.532088,0.01897,8.23736,77193
210,0,9.28831,240,1,0,0,0.530491,0.011395,8.2018,77434
211,0,9.08663,307,1,0,0,0.5289,0.01668,8.1574,77742
212,0,9.12646,293,1,0,0,0.527313,0.014601,8.10609,78036
213,0,9.16339,281,1,0,0,0.525731,0.018435,8.04921,78318
214,0,9.36979,212,1,0,0,0.524154,0.015487,8.01623,78531
215,0,9.60687,133,1,0,0,0.522582,0.016916,7.98055,78665
216,0,9.59005,139,1,0,0,0.521014,0.012701,7.95007,78805
217,0,9.39721,203,1,0,0,0.519451,0.015937,7.91589,79009
218,0,9.30141,235,1,0,0,0.517893,0.016348,7.89003,79245
219,0,9.32573,227,1,0,0,0.516339,0.01786,7.8335,79473
